CSV file already exists: /data/juno/lin/agent/drsai-main/my_agent/stock_monitor/data/stock_data.csv
Loaded 647247 existing records for deduplication (by second)
### Connected ###
Saved: BINANCE:BTCUSDT | Price: 78458.32 | Volume: 9e-05 | Time: 2026-02-03 10:41:54.064
Saved: BINANCE:BTCUSDT | Price: 78453.93 | Volume: 0.0083 | Time: 2026-02-03 10:41:55.092
Saved: BINANCE:BTCUSDT | Price: 78453.93 | Volume: 0.00123 | Time: 2026-02-03 10:41:56.386
Saved: BINANCE:BTCUSDT | Price: 78458.31 | Volume: 0.02205 | Time: 2026-02-03 10:41:57.187
Saved: BINANCE:BTCUSDT | Price: 78458.31 | Volume: 8e-05 | Time: 2026-02-03 10:41:58.204
Saved: BINANCE:BTCUSDT | Price: 78458.31 | Volume: 0.02142 | Time: 2026-02-03 10:41:59.179
Saved: BINANCE:BTCUSDT | Price: 78458.31 | Volume: 0.002 | Time: 2026-02-03 10:42:00.042
Saved: BINANCE:BTCUSDT | Price: 78452.79 | Volume: 2e-05 | Time: 2026-02-03 10:42:01.185
Saved: BINANCE:BTCUSDT | Price: 78458.32 | Volume: 0.00935 | Time: 2026-02-03 10:42:02.535
Saved: BINANCE:BTCUSDT | Price: 78452.15 | Volume: 7e-05 | Time: 2026-02-03 10:42:03.131
Saved: BINANCE:BTCUSDT | Price: 78452.15 | Volume: 0.00065 | Time: 2026-02-03 10:42:04.556
Saved: BINANCE:BTCUSDT | Price: 78452.15 | Volume: 0.00014 | Time: 2026-02-03 10:42:05.053
Saved: BINANCE:BTCUSDT | Price: 78452.03 | Volume: 0.04038 | Time: 2026-02-03 10:42:06.204
Saved: BINANCE:BTCUSDT | Price: 78458.31 | Volume: 0.02232 | Time: 2026-02-03 10:42:07.008
Saved: BINANCE:BTCUSDT | Price: 78458.32 | Volume: 9e-05 | Time: 2026-02-03 10:42:08.479
Saved: BINANCE:BTCUSDT | Price: 78463 | Volume: 0.00031 | Time: 2026-02-03 10:42:09.002
Saved: BINANCE:BTCUSDT | Price: 78469.31 | Volume: 0.014 | Time: 2026-02-03 10:42:10.058
Saved: BINANCE:BTCUSDT | Price: 78469.32 | Volume: 0.00072 | Time: 2026-02-03 10:42:11.236
Saved: BINANCE:BTCUSDT | Price: 78492.86 | Volume: 0.01157 | Time: 2026-02-03 10:42:12.093
Saved: BINANCE:BTCUSDT | Price: 78492.85 | Volume: 0.00013 | Time: 2026-02-03 10:42:13.202
Saved: BINANCE:BTCUSDT | Price: 78492.85 | Volume: 0.014 | Time: 2026-02-03 10:42:14.737
Saved: BINANCE:BTCUSDT | Price: 78492.96 | Volume: 0.00757 | Time: 2026-02-03 10:42:15.830
Saved: BINANCE:BTCUSDT | Price: 78492.96 | Volume: 7e-05 | Time: 2026-02-03 10:42:16.009
Saved: BINANCE:BTCUSDT | Price: 78497.83 | Volume: 0.00013 | Time: 2026-02-03 10:42:17.001
Saved: BINANCE:BTCUSDT | Price: 78497.83 | Volume: 7e-05 | Time: 2026-02-03 10:42:19.029
Saved: BINANCE:BTCUSDT | Price: 78497.82 | Volume: 9e-05 | Time: 2026-02-03 10:42:20.064
Saved: BINANCE:BTCUSDT | Price: 78466.38 | Volume: 9e-05 | Time: 2026-02-03 10:42:21.204
Saved: BINANCE:BTCUSDT | Price: 78455.14 | Volume: 0.00211 | Time: 2026-02-03 10:42:22.097
Saved: BINANCE:BTCUSDT | Price: 78462.44 | Volume: 0.00083 | Time: 2026-02-03 10:42:23.268
Saved: BINANCE:BTCUSDT | Price: 78462.44 | Volume: 0.014 | Time: 2026-02-03 10:42:24.111
Saved: BINANCE:BTCUSDT | Price: 78464.88 | Volume: 0.0001 | Time: 2026-02-03 10:42:25.468
Saved: BINANCE:BTCUSDT | Price: 78460.09 | Volume: 9e-05 | Time: 2026-02-03 10:42:26.430
Saved: BINANCE:BTCUSDT | Price: 78460.09 | Volume: 0.02174 | Time: 2026-02-03 10:42:27.167
